"","docname","from","to","pre","keyword","post"
"1","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",7716,7716,"Soccer shall sees entitled to","audit","the information provided exclusively through"
"2","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",7724,7724,"provided exclusively through international recognized","audit","firms , who shall previously"
"3","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",7744,7744,"Soccer shall exercise to their","audit","right upon written notice to"
"4","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",7789,7789,". The costs of such","audit","shall sees tip by the"
"5","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",17701,17701,"to to other Party .","Audit",". The Parties agree to"
"6","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",7872,7872,"will enjoy the right to","audit","inforrnaci6n provided exclusively through companies"
"7","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",7879,7879,"provided exclusively through companies of","audit","recognized internationally , that will"
"8","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",7904,7904,"to exert their right of","audit","by means of notification in"
"9","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",7948,7948,". The costs of this","audit","will be in charge of"
"10","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",17906,17906,"other Part . 9.5 .","Audit",". The Parts decide to"
"11","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",37055,37055,": ( i ) to","audit","the payments that will have"
"12","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",37174,37174,"that will be necessary to","audit","and to control the destiny"
