"","docname","from","to","pre","keyword","post"
"1","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",6439,6439,"the Office of Control of","Foreign","Assets ( "" OFAC """
"2","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",6876,6876,"employee of a local or","foreign","government ; ( III )"
"3","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",6912,6912,"Outside ( "" U.S .","Foreign","Corrupt Practices Act "" )"
"4","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7005,7005,") he is a ""","foreign","civil servant "" ( in"
"5","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7141,7141,"To fight the Bribe of","Foreign","Officials Government in International Operations"
"6","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7178,7178,"any Related Part would become","foreign","civil servant or would have"
"7","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7395,7395,") he is a ""","foreign","civil servant "" ( in"
"8","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7531,7531,"To fight the Bribe of","Foreign","Officials Government in International Operations"
"9","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",7568,7568,"any Related Part would become","foreign","civil servant or would have"
"10","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",10963,10963,"payment is made by to","foreign","company , or the payment"
"11","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",11015,11015,"any Tax levied by any","foreign","jurisdiction from or through which"
"12","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",11052,11052,"Consideration is made from to","foreign","company or from an account"
"13","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",11101,11101,"Binding Agreement applied by any","foreign","authority . "" Tax """
"14","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",11151,11151,", to whether Argentine or","foreign",", with national , provincial"
"15","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",11354,11354,"imposed or established by any","foreign","jurisdiction to other than the"
"16","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",11433,11433,"Taxes plows imposed by any","foreign","jurisdiction due to payment made"
"17","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",15390,15390,", provincial , municipal or","foreign",", administrative agency or authority"
"18","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",16578,16578,", provincial , municipal or","foreign",", administrative agency or authority"
"19","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",16906,16906,", provincial , municipal or","foreign",", administrative agency or authority"
"20","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",17223,17223,"include the "" U.S .","Foreign","Corrupt Practices Act "" ("
"21","Attachment L - Oferta Vinculante Fox.Turner (Versión de Firma)2 (English) (2).docx",17470,17470,"to you "" U.S .","Foreign","Corrupt Practices Act "" ,"
"22","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",11159,11159,"any Tax applied by any","foreign","jurisdiction from or through ["
"23","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",11248,11248,"Binding Agreement applied by any","foreign","authority . It will be"
"24","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",11306,11306,"any governmental , Argentine or","foreign","authority , with national jurisdiction"
"25","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",11525,11525,"on the part of any","foreign","jurisdiction different from the Argentine"
"26","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",11602,11602,"In case Taxes by any","foreign","jurisdiction by virtue of making"
"27","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",15702,15702,", provincial , municipal or","foreign","organism , dependency or adrninistrativa"
"28","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",16670,16670,", provincial , municipal or","foreign","organism , dependency or administrative"
"29","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",17019,17019,", provincial , municipal or","foreign","organism , dependency or administrative"
"30","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",17360,17360,"include the "" U.S .","Foreign","Corrupt Practices Ace ' of"
"31","Attachment M - LIB_ASUNTOS-#840740-v1-Copia_Certificada_de_Oferta_Vinculante.pdf_final.docx",17628,17628,"violated the "" U.S .","Foreign","Corrupt Practices Ace ' ("
