"","docname","from","to","pre","keyword","post"
"1","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",17,17,"23 of February of 2018 23 of February of 2018 GentlemenImagen Satelital S.A . ( ""","Turner",""" ) Defense 599 , Buenos Aires Argentina Gentlemen Imagen Satelital S.A . ( "" Turner "" ) Defense 599 , Buenos Aires Argentina and"
"2","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",33,33,"February of 2018 GentlemenImagen Satelital S.A . ( "" Turner "" ) Defense 599 , Buenos Aires Argentina Gentlemen Imagen Satelital S.A . ( ""","Turner",""" ) Defense 599 , Buenos Aires Argentina and and GentlemenFSLA Holding companies LLC1440 Sepulveda Blvd . 2nd Los AngelesCalifornia Gentlemen FSLA Holding companies LLC"
"3","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",124,124,"Super Cup Argentina 2018 Of our consideration : Of our consideration : We have the affability to direct to Imagen Satelital S.A . ( ""","Turner",""" ) and to FSLA Holding companies to us LLC ( "" FSLA "" ) , in name and representation of Torneos y Competencias S.A"
"4","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",182,182,"in Balcarce 510 ( 1064 ) , Independent City of Buenos Aires ( "" Matches "" "" Authorising of the License "" and along with","Turner","and FSLA the "" Parts "" ) , in agreement with the conversations maintained in the last weeks , in order to detail the agreements"
"5","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",290,290,"considering the following thing:Rights of exhibition of Super Cup Argentina 2018 : We have the affability to direct to Imagen Satelital S.A . ( ""","Turner",""" ) and to FSLA Holding companies to us LLC ( "" FSLA "" ) , in name and representation of Torneos y Competencias S.A"
"6","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",348,348,"in Balcarce 510 ( 1064 ) , Independent City of Buenos Aires ( "" Matches "" "" Authorising of the License "" and along with","Turner","and FSLA the "" Parts "" ) , in agreement with the conversations maintained in the last weeks , in order to detail the agreements"
"7","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",545,545,"21.10 ( TBC ) . 3 . 3 . Territory : American continent . Territory : American continent . 44805607735570 4 . Exclusive feature :","Turner","and FSLA , will have the exclusive , limitless and irrevocable right to promote , to produce , to publish , to use , to"
"8","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",734,734,""" in Balcarce 51 Or for its later distribution . 6 . Value of the License : In return by all the granted Rights ,","Turner","and FSLA will pay the total sum of US $ 700.000 + IVA ( American dollars ) , plus the cancellation of River versus pending"
"9","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",787,787,"the Match of Summer 2018 ( the "" Price "" ) . The Price will be paid within the 30 days of the acceptance of","Turner","and f SLA of the present Letter of intent . 7 . Commercialization : Turner and FSLA retain all the commercial inventory of the air"
"10","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",802,802,"be paid within the 30 days of the acceptance of Turner and f SLA of the present Letter of intent . 7 . Commercialization :","Turner","and FSLA retain all the commercial inventory of the air , respecting statics in the stage . Except for the stipulated thing in point 9"
"11","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",833,833,"commercial inventory of the air , respecting statics in the stage . Except for the stipulated thing in point 9 . 8 . Miscellaneous :","Turner","and FSLA will receive 30 tickets for the party , and Matches will allow presence of brands Turner and FSLA in secondary places of the"
"12","Attachment H - TyC S.A. - Adquisición de derechos exhibición SuperCopa Argentina.docx",851,851,"point 9 . 8 . Miscellaneous : Turner and FSLA will receive 30 tickets for the party , and Matches will allow presence of brands","Turner","and FSLA in secondary places of the stage to decide as long as they are places available . 9 . Detail decided with Sponsors to"
"13","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",126,126,"proposal for the provision from general services of production ( the "" Proposal "" ) , that stops the case of being accepted by the","Turner","will be in force in agreement with the established terms and general conditions in the present . 1 . OBJECT By virtue of the present"
"14","Attachment J - La Corte S.A. - Propuesta Marco de Prestación de Serv. Grales de Producción.docx",157,157,"agreement with the established terms and general conditions in the present . 1 . OBJECT By virtue of the present , the parts decide that","Turner","will be able to ask for the Lender who offers to professional services of training and qualification , which will be designated as the """
